SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle,,Date,DEMS with imperfect forecast,DROEMS,DEMS with perfect forecast,,,,,,DEMS with imperfect forecast,
86817.68031,0,-24403.86013,5449.341822,7543.088573,1464.777871,,4/10/2030,60905.20247,71417.1317,72194.60174,0.156374563,,,,,60905.20247,71005.49471
46170.64289,0,-1203.210132,1480.998371,9563.371104,577.2371418,,4/11/2030,43054.75854,47599.14045,47447.49847,0.092581065,,,,,43054.75854,47637.6173
6129.963218,0,-32022.59261,12738.89384,6297.276502,1137.913299,,4/12/2030,-27152.08469,-279.6969136,-401.6686562,66.59821627,,,,,-27152.08469,-1403.137137
90.3992203,0,-1.30E-15,0,9084.558466,249.6612945,,4/13/2030,-1726.512473,-1062.090876,1972.912901,1.875108309,,,,,-1726.512473,-1169.243929
9498.823747,0,-11497.84599,2356.246771,5327.91788,1023.664884,,4/14/2030,-3064.605822,877.4576465,549.1136909,6.581004213,,,,,-3064.605822,-1542.998968
110.4199173,0,124.3849457,0,9988.355597,-7.157137727,,4/15/2030,-1762.866256,-1746.282095,-536.8063931,2.283988937,,,,,-1762.866256,-1266.899595
14173.94037,0,-2978.302417,290.6259754,10199.97218,1290.597185,,4/16/2030,9155.643514,8561.962425,10688.1458,0.143383363,,,,,9155.643514,8548.630078
21672.88936,0,54486.50844,38979.078,10296.79783,1361.783025,,4/17/2030,74100.03823,74870.65141,76356.03886,0.029545805,,,,,74100.03823,74906.24937
64537.35705,0,-35742.60456,9735.251683,7431.161942,1401.656674,,4/18/2030,27308.5201,46775.75661,48635.32925,0.438504467,,,,,27308.5201,46270.69964
106171.3403,0,-69367.08214,16809.55566,3669.590909,607.720334,,4/19/2030,36070.34001,59339.53882,60111.34653,0.399941241,,,,,36070.34001,56175.92745
66751.60149,0,24952.47884,9280.735899,10769.39254,-446.6647621,,4/20/2030,89550.20181,92738.1545,93208.11357,0.039244564,,,,,89550.20181,90566.56418
13404.61338,0,-4914.92039,947.7765389,6574.690456,1562.757827,,4/21/2030,7174.754895,8892.537423,8110.276754,0.115350177,,,,,7174.754895,8701.506074
30102.26355,0,-31673.83521,4863.490078,3620.875892,384.6382086,,4/22/2030,-2295.746837,9897.211324,12282.20581,1.186916493,,,,,-2295.746837,10914.84865
73.60203108,0,1218.904621,218.203547,9938.559997,-450.8766259,,4/23/2030,-695.2053476,1834.724586,3036.155642,1.22897553,,,,,-695.2053476,1182.722688
1329.915696,0,2085.73703,335.1858612,9819.162351,1353.692843,,4/24/2030,1451.820256,1557.04518,3832.40555,0.621172593,,,,,1451.820256,1706.070096
11436.58015,0,-5147.3348,1156.984001,7861.264335,1331.999868,,4/25/2030,4716.992481,6506.512045,6368.122341,0.259280487,,,,,4716.992481,6373.701509
4022.424829,0,10530.26481,2440.739841,10030.22648,780.1649723,,4/26/2030,12546.64435,13354.80941,16172.68519,0.224207718,,,,,12546.64435,13392.63494
22244.10262,0,10366.21997,29202.47123,8524.927688,1415.420141,,4/27/2030,30905.33706,30874.11423,32526.53207,0.049842234,,,,,30905.33706,30911.73266
26145.9947,0,2469.232498,2915.375999,13629.30709,991.14263,,4/28/2030,25889.36578,26807.68888,26837.51509,0.035329251,,,,,25889.36578,26845.10204
36403.20178,0,-18960.11952,1755.91427,6239.17668,2490.729946,,4/29/2030,16195.24693,22219.80895,25207.08429,0.357512089,,,,,16195.24693,22257.01862
112305.1067,0,-2284.931736,445.7241112,11361.27614,345.771242,,4/30/2030,107747.9197,110860.2557,112552.1396,0.042684394,,,,,107747.9197,110871.2308
3555.750367,0,-2426.99851,164.693195,6540.798865,1858.193135,,5/1/2030,-179.4079153,653.1515377,729.2311984,1.246023368,,,,,-179.4079153,1138.998754
10751.086,0,-13672.02515,7326.119534,3238.220866,449.5865306,,5/2/2030,-3568.583319,2202.912804,2558.785286,2.394639612,,,,,-3568.583319,1480.071857
2446.201038,0,58.42309487,0,10266.30467,-522.6868756,,5/3/2030,451.363199,1496.10595,1770.31863,0.74503844,,,,,451.363199,-1701.835149
252.3051651,0,874.0843793,874.2798106,8765.179116,1564.971865,,5/4/2030,-626.6462788,-752.7053114,38.62253754,17.22488626,,,,,-626.6462788,-27.18703916
12278.12375,0,797.474748,4.502826951,11432.114,1131.097285,,5/5/2030,10789.1757,11825.28669,14534.1944,0.257669507,,,,,10789.1757,11764.38353
