SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle,,
7865.46265,0,10901.31393,84781.68822,5485.787177,1502.275542,,17669.61914
7746.925878,0,-909.5094879,3585.480844,7282.074509,908.0754791,,5381.001488
6669.136076,0,1103.415821,10264.68422,7565.312728,1702.364783,,6259.489351
854.4854656,0,-3760.639787,16.82514618,2987.534205,1841.048832,,-3503.661162
522.0487775,0,-9.53E-14,0,3528.49248,-164.4660033,,-183.6497184
8889.7365,0,-4598.308124,485.8080049,4379.370103,76.86628477,,3415.554355
817.6812152,0,10120.06216,3251.861632,6962.005226,457.0141618,,9545.342334
6856.19892,0,-22665.1003,5423.40096,3639.645189,1610.143135,,-16536.83042
2820.971207,0,-19208.15266,8186.511646,3658.058767,140.6091076,,-17118.79321
3970.862952,0,-2.43E-13,0,6700.246368,152.4525161,,2630.813679
31038.92722,0,17782.40597,2165.358145,6644.133463,1519.787364,,47492.5065
4673.08307,0,-7592.062206,832.1301188,3631.968595,1506.88788,,-3645.372854
27183.42916,0,-39642.6414,19477.75477,1960.36608,157.8238757,,-12851.28546
5148.03012,0,-3716.037123,344.6763458,2598.227785,-594.567477,,912.3474396
62483.62003,0,-7646.104203,1915.698686,5041.777369,-304.7321072,,53829.16036
27487.15119,0,-2752.655697,847.855865,7408.337288,806.1977982,,23252.82804
4470.620867,0,-5176.666619,337.2053897,2972.896202,1892.415619,,-1300.624992
13805.09766,0,1458.787265,3649.622333,6308.500102,-122.4633493,,14002.1849
33442.67461,0,15956.97229,3524.878503,6368.760612,1409.308298,,48125.89478
7929.487328,0,-806.7857833,567.3335693,5477.323043,1448.457397,,6027.236936
13900.9838,0,13150.08405,4947.665942,7954.327214,1047.861842,,25460.2024
15239.973,0,22864.15503,4124.632471,5115.159376,2206.622001,,37081.09616
37869.17298,0,-43582.62861,16013.15238,3544.992744,900.3973886,,-6422.454179
3338.829495,0,-6493.305894,2995.118615,2538.20113,174.1259131,,-3662.116625
5653.576954,0,19324.8955,7746.902939,6363.772557,-293.4511972,,23705.71795
11326.51767,0,12004.22227,6509.748501,5167.87627,1503.655913,,22297.16469
23607.40856,0,3530.671737,510.0513016,6910.661986,951.7588128,,25755.9479
61622.04648,0,11452.84208,2873.924378,6151.803215,1784.382183,,71844.52792
22480.70722,0,8436.775223,8580.539057,5993.509663,1437.969437,,29718.78052
58085.65429,0,-36731.23228,15350.80476,2586.503987,1373.889567,,20837.12122
33529.56802,0,3562.471677,12509.94868,6281.536932,-245.1695944,,35835.73231
7678.686221,0,4028.080839,24468.3647,5951.485538,1527.751031,,10516.46995
41286.519,0,-25067.22697,7149.17143,5131.403226,1380.878959,,15193.01138
93522.78685,0,-63644.03204,36343.96452,1843.253442,995.4138126,,29510.10412
56936.43203,0,-76083.21136,32031.17708,1844.810004,-588.970603,,-19515.74133
220.0752559,0,6155.479655,6386.465611,6149.067555,-587.1594839,,5145.7414
52233.5257,0,-6552.250199,214.4317798,4747.366521,1504.242054,,44731.8022
67829.76088,0,-37047.35224,20237.7948,2514.630753,832.0265908,,30279.48249
45486.41847,0,467.026802,436.2641518,8216.514208,-252.5845253,,44310.14243
11397.42417,0,1750.230729,1786.682529,6868.20937,2545.080914,,11774.01303
12054.08678,0,-7704.873093,3049.653141,5900.050647,1901.036379,,3169.203561
49641.70958,0,-4091.740305,2223.736458,7473.727783,1436.48566,,44055.22372
16000.56297,0,-8399.08778,7589.518414,2304.565029,2230.586966,,7140.562183
10501.6785,0,312.480026,2485.045242,5228.016863,-332.333003,,9768.555155
9165.226311,0,-4481.631019,1118.663563,4557.926436,1130.279487,,3772.010005
36807.42628,0,28312.27267,9624.155662,5866.530967,802.9894777,,63946.39276
5038.957281,0,-2785.089094,281.1908541,4224.283867,1468.5939,,1409.011413
32994.85449,0,877.0532316,22.52748807,6386.354291,650.1674377,,32594.63687
30170.75516,0,5636.913969,967.4305413,7131.683395,1751.838067,,34381.33245
38422.18456,0,-48087.08003,24041.9584,3259.964315,2145.192621,,-10316.88833
7729.858062,0,2825.928763,1547.626725,6584.135114,182.6845,,9238.959803
39335.65621,0,-27695.93797,8862.011343,3235.459616,1889.352377,,10992.62632
10018.1781,0,407.4476181,2817.524128,7331.186579,180.9891863,,8959.388404
